id,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
176,3,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,3,2,2,1,1,2,3,2,3,1,2
177,2,1,2,2,3,2,1,2,2,3,1,2,2,2,2,2,1,1,1,1,2,2,3,2,1,1,2,2,2,2,3,3
178,3,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,1,1,1,2,1,2,2,2,2,3,3,2,3,3,1
179,3,2,2,2,1,2,2,2,2,1,3,3,1,2,2,3,2,2,3,1,2,2,2,1,3,3,1,3,2,2,3,3
180,3,2,2,2,1,2,3,3,2,2,2,1,1,1,3,2,2,1,1,2,2,1,3,1,2,2,1,3,3,3,3,3
182,1,1,1,3,1,2,2,2,3,3,1,2,2,2,2,1,2,2,1,2,2,3,2,1,1,1,2,2,2,2,2,1
185,1,1,1,2,1,2,2,2,3,2,1,2,1,3,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,3,2,1
186,2,1,1,2,1,2,2,2,2,1,2,3,1,2,2,2,2,2,1,1,2,2,2,1,2,2,3,3,3,3,2,1
187,2,2,1,2,2,2,2,2,3,3,1,2,1,3,2,1,2,1,1,2,2,1,3,1,1,2,3,3,3,3,2,1
188,1,1,1,3,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,3,3,3,3,1,1
189,1,1,1,3,2,2,1,2,3,3,1,2,2,2,3,3,2,1,2,1,2,2,2,2,1,1,3,2,3,3,2,2
191,3,3,1,2,2,1,2,2,3,2,2,2,2,3,2,1,2,2,1,2,3,2,2,1,1,1,2,2,3,3,3,1
194,1,1,1,3,3,2,2,2,3,2,1,2,1,2,2,1,2,2,1,2,3,2,3,1,2,1,2,2,3,3,2,1
195,1,2,1,3,1,2,2,3,2,2,2,2,1,2,2,2,2,3,1,2,2,2,3,2,1,2,2,3,3,3,3,2
198,2,1,2,2,3,2,2,3,3,2,2,2,2,2,1,1,1,2,1,2,2,2,3,3,2,2,3,2,3,3,3,1
199,2,2,2,2,2,2,1,2,3,2,2,1,2,2,2,1,2,2,1,2,2,2,3,2,2,2,3,3,3,3,3,1
200,1,1,2,2,2,3,1,2,2,2,2,2,1,1,2,3,2,2,1,2,2,2,3,3,2,2,3,2,3,3,2,1
201,1,2,2,3,3,1,2,2,3,2,2,2,1,2,2,1,2,2,2,2,2,2,3,3,1,2,3,2,3,3,3,1
202,1,1,2,3,1,3,3,1,2,2,2,1,1,1,3,2,2,1,1,2,2,2,3,2,3,2,2,2,1,2,3,2
203,2,2,1,2,1,2,2,2,3,2,2,1,3,2,2,1,2,2,1,2,2,2,3,3,3,2,2,2,3,3,3,1
205,2,2,1,3,3,2,1,2,3,2,1,2,1,2,2,1,2,3,1,2,2,2,3,2,2,2,3,2,3,3,2,1
206,1,1,2,2,2,2,2,3,3,2,2,1,2,3,2,2,2,3,1,2,2,2,3,2,2,2,3,2,3,3,2,1
207,2,2,2,2,3,1,2,2,3,2,1,2,2,2,2,1,2,2,1,2,2,2,3,1,1,2,3,3,3,3,3,1
208,2,3,2,2,2,3,2,3,2,2,2,3,1,2,1,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2
211,2,1,2,2,3,1,1,2,2,3,1,3,1,2,2,1,2,3,1,2,3,3,2,1,2,2,2,1,3,2,2,2
212,3,1,1,1,2,1,2,3,3,2,2,2,1,2,2,1,2,2,1,1,2,3,3,2,2,2,2,2,3,3,2,1
213,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,3,2,1,2,3,2,2,3,1,2
214,1,2,2,2,2,3,3,3,2,2,1,1,2,2,2,1,2,2,1,2,2,2,3,2,2,1,3,2,2,3,1,1
215,1,2,2,2,2,2,3,2,3,2,1,1,2,2,2,1,2,1,1,2,2,1,3,2,2,1,2,3,2,3,3,1
216,1,2,1,3,3,2,2,2,3,2,1,1,3,2,2,1,2,1,1,2,2,2,2,3,2,1,2,2,3,1,2,1
218,2,2,1,2,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,3,3,3,3,1,1
219,2,2,1,2,1,2,3,3,3,2,1,2,2,1,2,2,2,2,1,2,1,3,3,2,2,2,1,1,2,3,3,1
221,1,2,1,2,1,2,3,2,2,2,1,2,2,3,2,2,3,2,2,2,2,3,2,1,1,1,2,3,2,3,2,1
222,2,1,2,2,2,3,3,2,2,3,1,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3,3,3,3,2,1
223,3,2,2,2,1,1,2,2,3,3,2,2,1,1,2,2,2,2,1,2,2,2,3,2,2,1,2,3,2,2,2,1
224,1,1,1,2,1,3,2,2,3,2,1,1,2,2,3,2,2,2,1,2,2,1,3,1,2,2,1,3,2,3,3,1
225,1,2,2,2,2,3,2,2,2,1,1,2,2,3,2,1,2,2,1,2,2,3,2,3,2,2,2,2,3,2,1,1
226,2,2,1,3,1,2,1,2,3,2,1,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,3,3,2,3,3,2
227,2,1,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,3,3,3,3,1
228,1,1,1,2,2,2,2,2,3,2,1,1,3,2,2,3,2,2,1,2,2,2,2,3,1,2,3,3,2,3,3,2
229,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,3,1,1,2,2,1,3,2,2,2,3,2,3,2,2,1
230,2,2,2,2,2,2,2,2,3,3,2,1,3,2,1,1,2,2,2,2,1,1,2,2,1,1,2,3,3,2,1,1
231,2,1,1,2,1,2,1,2,2,3,1,1,2,2,2,2,2,1,1,2,2,2,3,2,2,2,3,3,2,3,3,1
232,1,1,1,2,1,2,1,3,2,3,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,2,3,2,2,2,1
234,2,2,2,3,1,2,2,3,2,3,2,1,2,2,2,2,3,1,1,2,2,1,3,2,1,1,2,3,3,3,2,2
235,1,2,2,2,3,2,2,2,3,2,2,2,3,2,3,3,3,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2
236,1,2,2,1,2,2,1,2,2,3,1,2,1,3,2,2,1,1,1,1,3,2,3,1,2,2,3,2,3,1,2,1
237,1,1,2,3,2,1,1,2,3,2,1,1,1,3,2,2,2,2,1,1,2,3,3,1,1,1,2,3,3,3,3,1
238,2,2,1,3,2,1,1,2,3,2,2,2,2,3,2,2,2,3,1,2,2,2,3,3,1,2,2,2,3,2,1,2
241,2,1,1,2,2,2,2,2,3,2,2,1,3,2,2,1,2,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1
243,2,1,2,2,2,1,2,3,2,2,2,2,1,1,2,1,2,2,2,2,1,3,3,2,3,3,2,3,2,3,3,1
